repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
Anionex/dsh-vision-toolkit,verified_plugin,"Native DSH Profile Bundle with explicit dsh plugin --profile add commands, cordis.patch.yml, and package.json dsh field.",为纯文本 DSH Agent 提供 10 个结构化视觉工具：意图感知图片问答、长截图 OCR、原始像素 grounding、UI 还原、像素 diff 等,dsh plugin --profile web add /path/to/dsh-vision-toolkit,MIT,medium,读取本地图片文件并运行托管 Python 运行时；远程视觉工具需 OpenAI 兼容视觉 endpoint + DSH Credential（API Key）,vision,"README install commands (dsh plugin --profile web/headless add), cordis.patch.yml, package.json name @dsh-external/dsh-vision-toolkit with dsh.patch -> ./cordis.patch.yml and cordis peer dep.",2026-08-14
Small-tailqwq/dsh-deep-whale,verified_plugin,DSH Web GUI skin with explicit dsh plugin --profile web add command and package.json dsh.bundle patch.,DSH Web GUI 鲸鱼娘主题皮肤（深海女仆工坊 maid-atelier：亮/暗双模式）,dsh plugin --profile web add ../dsh-deep-whale/maid-atelier,CC-BY-NC-SA-4.0,low,纯 UI 皮肤/主题，无数据或权限访问,web_ui,README install command (dsh plugin --profile web add ../dsh-deep-whale/maid-atelier); package.json @dsh-external/dsh-client-ui-skin-maid-atelier with dsh.bundle.patch -> ./cordis.patch.yml and client platform web.,2026-08-14
Nagi-ovo/dsh-ads,verified_plugin,Public source with native DSH load path (dsh plugin --profile web add link:...) and package.json dsh.bundle/cordis.patch.yml declaration; identifiable web-UI ad-infestation function.,把 DeepSeek Harness 变成 2005 年门户网站：侧栏广告、对话内信息流、角落弹窗、抽奖转盘等整套虚构广告 UI 插件,pnpm dsh plugin --profile web add link:/path/to/dsh-ads,Not found,low,纯 UI 层：无文件扫描/读写；曝光记录仅存本机浏览器；「验证修复」仅在用户点击后查一次 GitHub Star（本机 gh/token 或匿名公开 API）,web_ui,README.md（安装节 + 免责声明）；package.json 的 dsh.bundle.patch=cordis.patch.yml 与 client.inject 声明,2026-08-14
huiliyi37/dsh-tianshu-tui,verified_plugin,Public source with reproducible npx @deepseek-ai/dsh plugin --profile tui add install command; identifiable interactive terminal UI function; Apache-2.0 license present.,DeepSeek Harness 交互式终端 UI 插件：会话工作区、图片端到端（剪贴板/视觉桥）、slash 下拉、审批卡片、推理可视化，纯展示层,npx -y @deepseek-ai/dsh plugin --profile tui add @huiliyi37/dsh-tianshu-tui,Apache-2.0,low,UI 纯展示层，不注册 prompt/工具/上下文面，所有状态派生自会话事件流；无网络/凭据/文件访问,tui,README.md（安装节：npx -y @deepseek-ai/dsh plugin --profile tui add ...；亮点与构造上可审计节）,2026-08-14
pulseaiclub/phi,rejected,独立 Go 终端编码 Agent（Pi 的姊妹项目），非 DSH 插件：README 无 DeepSeek Harness/DSH/Cordis 关系，仅有自身 ~/.phi 配置与 install.sh，只是贴了 dsh-plugin topic,,,MIT,low,,uncategorized,README.md（Quick start 用 curl install.sh / phi 命令；无任何 DSH/DeepSeek/Cordis 提及）,2026-08-14
NanmiCoder/dsh-agent-teams,verified_plugin,Public source with native DSH load command (dsh plugin --profile web add github:...) and dsh.bundle auto-enable mention; identifiable AgentTeams multi-agent function; MIT license.,AgentTeams 多智能体团队协作插件：自然语言驱动建团队、拉成员、拆任务声明依赖、成员间消息直达，Web 右上角活动面板,npx -p @deepseek-ai/dsh dsh plugin --profile web add github:dsh-external/dsh-agent-teams,MIT,medium,多智能体编排，驱动子代理执行工具与产出；无凭据/设备访问，但会派生子代理任务,automation,README.md（安装节 + dsh.bundle 声明 + License MIT；docs/usage.md 提及 Web UI 工具一览）,2026-08-14
hust-open-atom-club/oh-dsh,watchlist,DSH 相关桌面工作台（Electron 外壳打包 DSH runtime + PTY/workspace/browser/插件市场），README 大量提及 DeepSeek Harness/Profile/Loader，但非可加载插件（无 dsh plugin add / bundle 挂载，安装走 DMG/AppImage）,可安装、可扩展的 macOS/Linux 桌面工作台：多标签 PTY、workspace 工具、浏览器、插件市场、四套皮肤，保留 DSH React UI,,BSD-3-Clause,high,原生 PTY 终端、浏览器、文件、Git、commit diff，以及可配置 DeepSeek API key（.env/设置页）,developer_tools,README.md（架构图、安装（DMG/xattr）、内置 Plugins、插件市场、DSH 0.1.0-rc.5 固定版本说明）,2026-08-14
taxueseek/argo,verified_plugin,Public source with a dedicated DeepSeek Harness 一键插件 (.dsh-plugin bundle) install command; identifiable agent search/evidence function; MIT license.,给 Agent 用的统一搜索与证据核验：120+ 引擎、多语言路由、影视/体育/金融垂直源、双层缓存、10 个 MCP 工具,"dsh plugin --profile web add ""github:taxueseek/argo#main&path:packages/dsh-plugin""",MIT,medium,联网搜索（多引擎请求），可选 API Key；本地 SQLite 缓存；无 shell/浏览器/凭据存储,search_browser,"README.md（「DeepSeek Harness 一键插件（.dsh-plugin bundle）」节，packages/dsh-plugin/，cordis.patch.yml 覆盖说明）；package.json（license MIT, mcp-server）",2026-08-14
btspoony/mstar-harness,verified_plugin,Public source with native DSH install command (dsh plugin --profile web add @mstar-harness/dsh); identifiable harness workflow engine + skills function; MIT license.,Harness 工程工作流引擎插件：TS 引擎执行确定性 workflow 门禁 + mstar-* 判断 skills，跨 dsh/omp/OpenCode/Cursor 等多宿主驱动多 Agent 代码交付,dsh plugin --profile web add @mstar-harness/dsh,MIT,medium,多 Agent 工作流引擎与子代理驱动；无凭据/设备访问，但执行确定性 workflow 门禁并编排代码交付,automation,README.md（Install 表：dsh (DeepSeek Harness) | dsh plugin --profile web add @mstar-harness/dsh；Host adapters）；package.json（packages/dsh 工作区）,2026-08-14
icetomoyo/dsh_workflow,verified_plugin,Public source with native DSH install command (dsh plugin --profile web add github:...); identifiable Workflow 层功能；MIT license.,把一次性多 Agent 调度升级为可生成、保存、治理、观察、恢复的 Workflow 层：run graph、持久证据、成本记录、resume/rerun,"dsh plugin --profile web add ""github:dsh-external/dsh_workflow#main""",MIT,medium,多 Agent 编排与 run_workflow 工具、capability-only VM、审批分级；无凭据/设备访问,automation,"README.md（快速开始：dsh plugin --profile web add ""github:dsh-external/dsh_workflow#main"" + --dump-config 验证；能力/对标矩阵）",2026-08-14
ZSeven-W/dsh-openpencil,verified_plugin,Public source with reproducible npx @deepseek-ai/dsh plugin --profile web add install command; identifiable OpenPencil .op preview/edit function; MIT license.,OpenPencil 设计预览与编辑插件：在会话内预览/检查/编辑真实 .op 文档（多帧预览、交互画布、受管编辑器、Agent 原生设计工具）,npx --yes -p @deepseek-ai/dsh@0.1.0-rc.6 dsh plugin --profile web add @zseven-w/dsh-openpencil@latest,MIT,medium,经 DSH sandboxed filesystem 读写本地 .op 文件；headless exporter 渲染；无网络/凭据/设备访问,vision,README.md（Install into DSH 节；5 个 openpencil_* 工具；Capability-Gated Grants 安全说明）,2026-08-14
yuukiLike/zeromd,rejected,Obsidian 本地同步脚本（iCloud + Git 定时备份），与 DeepSeek Harness 无关，仅贴了 dsh-plugin topic,,,MIT,low,,uncategorized,README.md（Quick Start 用 bash <(curl ...install-remote.sh)；全文为 Obsidian vault 同步，无 DSH/DeepSeek/Cordis）,2026-08-14
DeKrych/Dshell-plugins,rejected,美国陆军研究实验室 Dshell 网络取证分析框架的解码器插件库，非 DeepSeek Harness（DSH 同名但指 Dshell forensics）,,,MIT,low,,uncategorized,README.md（Prerequisites 指向 USArmyResearchLab/Dshell；decode -d 用法）,2026-08-14
Nagi-ovo/dsh-visualize,verified_plugin,Public source with native DSH load command (pnpm dsh plugin --profile web add link:...) and package.json dsh.bundle/cordis.patch.yml; identifiable inline generative-UI function.,对话内生成式 UI 插件：模型调用 visualize 工具把交互式 HTML 卡片画进会话流（沙箱渲染卡、流式预览、组件浮入动画、主题跟随）,pnpm dsh plugin --profile web add link:/path/to/dsh-visualize,Not found,low,卡片运行于 sandboxed iframe，CSP 阻止网络请求/嵌套页面/表单提交，仅允许固定 CDN 静态资源；fragment 默认上限 1MB,web_ui,README.md（安装节 + 安全节）；package.json 的 dsh.bundle.patch=cordis.patch.yml 与 client.inject 声明,2026-08-14
Electricitysheep/dsh-tool-turbo,verified_plugin,"Native DSH host plugin; README shows mounting into a profile via cordis.patch.yml insert (id: tool-turbo, name: dsh-tool-turbo) plus a package.json link dependency; identifiable function (auto-adjust reasoning_effort per tool round).","Auto-adjusts reasoning_effort per tool round — downgrades simple tool chains to low, lifts back for heavy work, cutting thinking time between tool calls.",~/.dsh/profiles/web/cordis.patch.yml insert: - id: tool-turbo / name: dsh-tool-turbo (plus link dep in profile package.json),MIT,low,"Host-side request-config injection only; observes tool/call records and injects reasoning_effort; no network, file, shell, or credential access.",automation,"README.md (HEAD): cordis.patch.yml mount + build steps + policy table; package.json: MIT, peerDeps @deepseek-ai/cordis + dsh-agent.",2026-08-14
emredeveloper/deepseek-harness-huggingface,verified_plugin,"Native Cordis plugin loaded via patch.yml insert (id: huggingface, name: file:///.../lib/index.js) + `pnpm dsh web --patch ./patch.yml`; provides hf_search_models tool.",Read-only Hugging Face Hub model discovery — hf_search_models searches public models without an API key.,"patch.yml insert: - id: huggingface, name: file:///absolute/path/to/deepseek-harness-huggingface/lib/index.js; then pnpm dsh web --patch ./patch.yml",MIT,low,"Read-only public GET requests to the Hugging Face Hub API; no API key, no file writes, no shell execution.",search_browser,"README.md (HEAD): patch.yml mount + load command; package.json: MIT, peerDeps @deepseek-ai/cordis + dsh-tools.",2026-08-14
fakechris/dsh-track,verified_plugin,"Native `dsh plugin --profile web add github:dsh-external/dsh-track` install; embedded task-management engine with agent tools, web panel and HTTP API.","Embedded task-management engine — capture wall, decision ledger, Linear-style issues with evidence-driven lifecycle, history sync and LLM usage ledger.",npx -p @deepseek-ai/dsh dsh plugin --profile web add github:dsh-external/dsh-track,BSD-3-Clause,medium,"Local-first (session events + storage KV), zero external deps; history-sync and usage ledger invoke LLM calls through the harness; same-origin HTTP API + web panel; no credentials/shell/browser access.",automation,"README.md (HEAD): dsh plugin add command, tool list, web panel/HTTP API, architecture; package.json private, skill metadata BSD-3-Clause.",2026-08-14
Favio8/dsh-plugin-deepeye,verified_plugin,Native dsh bundle (dsh.bundle.patch) installed via `dsh plugin --profile web add dsh-plugin-deepeye`; registers vision tools on ctx.tools.,"Vision for text-only models: image description, OCR, VQA, UI layout analysis and clipboard screenshot analysis via OpenAI/Gemini/custom backends.",dsh plugin --profile web add dsh-plugin-deepeye,MIT,medium,"Sends images (local paths, HTTP URLs, clipboard screenshots) to external vision APIs (OpenAI/Gemini/custom); requires API key; LRU caching and image preprocessing.",vision,"README.md (HEAD): dsh plugin add, dsh.bundle declaration, provider configs, tool table, MIT license.",2026-08-14
FlashingChen/dsh-worktree,verified_plugin,Native `dsh plugin --profile web add dsh-worktree` install + cordis.patch.yml insert; git worktree agent tools and /worktree chat command.,Codex-style permanent git worktrees — worktree_create/list/remove tools plus /worktree chat command with durable per-repo manifests.,dsh plugin --profile web add dsh-worktree,MIT,medium,Runs git worktree add/remove through the harness ctx.subprocess seam (not arbitrary shell); worktree_remove --force discards uncommitted changes; writes .dsh-worktrees under repo root.,developer_tools,"README.md (HEAD): dsh plugin add + patch insert, tool/command table, sandbox note, MIT.",2026-08-14
Flyvhidbwo/dsh-vision-proxy,verified_plugin,Native `dsh plugin --profile web add github:Flyvhidbwo/dsh-vision-proxy`; declares dsh.bundle and registers a new provider route (deepseek-vision).,DeepSeek brain + automatic image transcription — proxies attached images to a VLM (DashScope qwen by default) and feeds the transcribed text back to DeepSeek.,dsh plugin --profile web add github:Flyvhidbwo/dsh-vision-proxy,MIT,medium,Attached images are transcribed via an external OpenAI-compatible VLM endpoint; needs VLM API key; images leave the machine; text-only conversations bypass it.,vision,"README.md (HEAD): dsh plugin add, dsh.bundle, config table, MIT.",2026-08-14
GiantGKL/dsh-cost,verified_plugin,Native Cordis plugin mounted via cordis.yml / cordis.patch.yml plugins entry (`name: 'dsh-cost'`) after npm install; dsh.client web composition declared.,"Live conversation cost and DeepSeek account balance in the composer stats row, with locale-aware currency (RMB/USD).",npm install dsh-cost; then mount in cordis.yml: plugins: - name: 'dsh-cost',MIT,medium,Resolves DeepSeek API key via the credentials service and sends a Bearer request to GET api.deepseek.com/user/balance; key never logged or returned to the browser; same-origin balance route.,diagnostics,"README.md (HEAD): npm install + cordis.yml mount, pricing table, privacy notes, MIT.",2026-08-14
gxinxing/deepseek-harness-tui,verified_plugin,Native `dsh plugin --profile tui add /path/to/deepseek-harness-tui` install; Ink-based terminal chat UI plugin for a tui profile.,"Interactive terminal chat UI (Ink/React) for DeepSeek Harness — folded tool calls, thinking folding, and OSC-11 adaptive theme.",dsh plugin --profile tui add /path/to/deepseek-harness-tui,MIT,low,TUI/UI only; routes llm-deepseek through the TokenDance gateway (needs TOKENDANCE_API_KEY) and requires a one-time manual runtime patch to the harness llm-deepseek adapter (lost on upgrade).,tui,"README.md (HEAD): dsh plugin add, feature list, TokenDance routing + prerequisite patch, MIT.",2026-08-14
HackSing/dsh-plugins,rejected,"Curated plugin directory / awesome-list, not a loadable plugin — non-plugin infra (informational index).",,,CC-BY-4.0,low,Not loadable; informational index only.,ecosystem,README.md (HEAD): directory of 94 plugins with no load path; CC BY 4.0.,2026-08-14
hashdiana/dsh-token-usage,verified_plugin,Native `dsh plugin --profile web add github:hashdiana/dsh-token-usage` install; web UI client plugin via dsh.client slot registration.,"Cleaner token-usage bar + details panel for the DSH web UI (context occupancy, input/output/cache split, tok/s, TTFT).",npx -p @deepseek-ai/dsh dsh plugin --profile web add github:hashdiana/dsh-token-usage,MIT,low,"Pure client UI plugin (empty host apply()); reads durable tokenUsage/context projections; no network, file, shell, or credential access.",web_ui,"README.md (HEAD): dsh plugin add, slot registration, MIT.",2026-08-14
havingautism/dsh-deepresearch,verified_plugin,Native `dsh plugin --profile web add github:havingautism/dsh-deepresearch`; package.json declares dsh.bundle.patch + client inject.,Evidence-first deep research workspace — durable project/plan/evidence/report state with model tools and a Web view.,dsh plugin --profile web add github:havingautism/dsh-deepresearch,BSD-3-Clause,medium,Orchestrates research via composed Web search and subagent capabilities (network); no own API key; durable state stored locally.,automation,"README.md (HEAD): dsh plugin add, tool list; package.json: BSD-3-Clause, dsh.bundle.patch + client inject.",2026-08-14
havingautism/dsh-notebooks,verified_plugin,Native `dsh plugin --profile web add github:havingautism/dsh-notebooks`; package.json declares dsh.bundle.patch + client inject.,"Persistent cross-session notebooks — notes library with model tools, typed Remote API and a Web workspace.",dsh plugin --profile web add github:havingautism/dsh-notebooks,BSD-3-Clause,low,Local note storage and Web view; browser upload extracts UTF-8 text/Markdown only; no network on its own (page reads rely on composed Web tools).,data_tools,"README.md (HEAD): dsh plugin add, tool list; package.json: BSD-3-Clause, dsh.bundle.patch + client inject.",2026-08-14
hisaniwo/dsh-ergonomics,verified_plugin,DSH web client plugin with native install path (`dsh plugin --profile web add`) plus cordis.patch.yml insert instructions and dsh.client web half.,DSH 会话人体工学：/new 一键新会话、输入框 ↑/↓ 历史回溯（按会话隔离、刷新不丢）、Ctrl+C 归档当前会话。,dsh plugin --profile web add dsh-ergonomics,MIT,low,"UI/session-management only; client bundle calls workspaces.startSession()/archiveSession() locally, no network, API keys, shell, or credentials.",web_ui,README.md (install section with dsh plugin add + cordis.patch.yml insert; dsh.client platform web description; MIT license).,2026-08-14
HuanLinOTO/dsh-plugin-better-sidebar-plugin-office,verified_plugin,Native install (`dsh plugin --profile web add github:...`) and package.json declares dsh.bundle.patch (cordis.patch.yml) + dsh.client platform web.,为 better-sidebar 编辑器提供 .docx/.xlsx/.pptx 三件套文件预览（docx-preview / Univer / pptx-renderer）。,"dsh plugin --profile web add ""github:huanlinoto/dsh-plugin-better-sidebar-plugin-office""",AGPL-3.0,low,"Client-side file preview; reads local file content for rendering (docx/xlsx/pptx), no network, API keys, shell, or credentials.",web_ui,"README.md (install section) + package.json (dsh.bundle.patch, dsh.client web, license AGPL-3.0).",2026-08-14
HuanLinOTO/dsh-plugin-interpreters,verified_plugin,Native install (`dsh plugin --profile web add`) and package.json declares dsh.bundle.patch (cordis.patch.yml) + dsh.client platform web.,暴露 run_python / run_node 工具，通过 spawn 解释器并以 stdin 传入代码执行，返回 stdout/stderr/exit code，解释器路径可配置并持久化到 settings.yaml。,"dsh plugin --profile web add ""link:D:/Projects/deepseek-harness/dsh-interpreters""",AGPL-3.0,high,Spawns arbitrary Python/Node subprocesses executing model-provided code — arbitrary local code execution on the host.,developer_tools,"README.md (install/run section, tools description) + package.json (dsh.bundle.patch, dsh.client web, license AGPL-3.0).",2026-08-14
HuanLinOTO/dsh-plugin-sleep,verified_plugin,Native install (`dsh plugin --profile <profile> add github:...`) and package.json declares dsh.bundle.patch (cordis.patch.yml).,向模型暴露 `sleep` 工具，按指定毫秒数暂停执行后返回，支持上限钳制与 abort 取消语义。,dsh plugin --profile <profile> add github:huanlinoto/dsh-plugin-sleep,AGPL-3.0,low,"Pure timer utility (clamp + abort signal handling); no network, shell, credentials, or file access.",developer_tools,"README.md (install section, tool spec) + package.json (dsh.bundle.patch, license AGPL-3.0).",2026-08-14
HuanLinOTO/dsh-plugin-ya-workspace-sidebar,verified_plugin,Native install (`dsh plugin --profile web add`) and package.json declares dsh.bundle.patch (cordis.patch.yml disabling ui-workspace) + dsh.client platform web.,DSH Web 工作区侧栏替代插件：顶部最近会话 + Workspace→Session 二级菜单与面包屑导航，复用原生 Host 能力。,"dsh plugin --profile web add ""link:D:/Projects/deepseek-harness/ya-workspace-sidebar""",AGPL-3.0,low,"Web UI sidebar replacement; local session/workspace UI only, no network, keys, shell, or credentials.",web_ui,"README.md (install/run section) + package.json (dsh.bundle.patch, dsh.client web, license AGPL-3.0).",2026-08-14
hyqhyq3/dsh-mcp-manager,verified_plugin,Native install (`npx -p @deepseek-ai/dsh dsh plugin --profile web add github:...`) and package declares dsh.bundle.patch auto-activation.,MCP server manager：Settings→MCP 页面，支持 HTTP(OAuth PKCE/静态 token) 与本地 stdio 进程，工具注册为 mcp__<name>__* 原生工具。,npx -p @deepseek-ai/dsh dsh plugin --profile web add github:hyqhyq3/dsh-mcp-manager,MIT,high,Stores OAuth tokens/client registrations in ~/.dsh/mcp-manager.json; spawns arbitrary local stdio processes (npx/uvx/python) and makes network calls to user-configured MCP servers.,developer_tools,"README.md (install section, OAuth/stdio tool registration details, MIT license).",2026-08-14
JasonJin2006/dsh-sound-effects-plugin,verified_plugin,Native install (`dsh plugin --profile <name> add github:...`) and package declares dsh.bundle + dsh.client platform web (cordis.patch.yml bundle layer).,Reasonix 风格音效：Agent 工作时生成式五声音阶环境音乐、完成成功音效与等待操作提示音（Web Audio，零素材）。,dsh plugin --profile <name> add github:JasonJin2006/dsh-sound-effects-plugin,MIT,low,"Browser-side Web Audio synthesis only; no assets, network, keys, shell, or credentials.",fun,"README.md (install section, dsh.bundle/dsh.client convention, MIT license).",2026-08-14
jiesou/dsh-stream-rules,verified_plugin,Native install (`dsh plugin --profile <name> add github:...`) plus documented cordis.patch.yml row insert.,按需注入规则而不浪费上下文：匹配工具调用后经 agent.inject() 注入 steering 提示，可选 reject 拒绝首次工具调用（guardrail/stream rules）。,dsh plugin --profile <name> add github:jiesou/dsh-stream-rules,MIT,low,"Intercepts tool calls and injects context; rules are user-authored local .js files, no network, API keys, shell, or credentials.",automation,"README.md (install section with dsh plugin add + cordis.patch.yml row, native tools/pre-execute + agent.inject() extension points).",2026-08-14
keleus/deepseek-pet,verified_plugin,Native install (`dsh plugin --profile web add github:...` and npx variant) with host/client halves (lib/index.js + lib/client.js).,DeepSeek Pet 桌宠插件：跟随任务/工具调用/上下文占用切换表情与动画，支持拖动、缩放、批准/提问交互。,dsh plugin --profile web add github:keleus/deepseek-pet,MIT,low,"Web client UI pet (reacts to session state, tool-approval cards); no network, keys, shell, or credentials.",fun,"README.md (install section with dsh plugin add + npx variant, host/client structure, MIT license).",2026-08-14
libinyam/dsh-vision-provider,verified_plugin,Native install (`dsh plugin --profile web add github:...` / pnpm dsh variant) contributing one cordis.patch.yml layer; config-only bundle.,Config-only bundle：为 DSH 增加 OpenAI 兼容多模态视觉模型路由（复用内置图像管线，text+image 输入）。,dsh plugin --profile web add github:libinyam/dsh-vision-provider,MIT,medium,Sends images/prompts/context to the configured OpenAI-compatible endpoint using an API key stored via DSH credential service; network + API key.,vision,"README.md (install section, credential/env config, security notes, MIT license).",2026-08-14
Linference/dsh_agent_presets,watchlist,DSH-related agent-preset collection (agent.cordis.yml compositions) installed by copying preset directories into ~/.dsh/.agent-presets/; not a loadable Cordis plugin (no dsh plugin add / dsh.bundle / cordis.patch.yml plugin mount).,DSH 角色化 Agent 预设集：代码审查、安全审计、架构设计等 16 个专家角色（persona + 只读开关）。,cp -r dsh_agent_presets/*/ ~/.dsh/.agent-presets/,MIT,low,"Config/persona presets only (no runtime plugin code); read-only presets disable shell via disabled:true, but write/edit visibility is governed by DSH session sandbox policy.",memory_persona,"README.md (quick-start copies preset dirs to ~/.dsh/.agent-presets/, agent.cordis.yml composition structure; no dsh plugin add / bundle manifest).",2026-08-14
LingLambda/dsh-undo,verified_plugin,Native install (`dsh plugin --profile demo add dsh-undo` / github:#<sha>) and package.json declares dsh.bundle pointing at cordis.patch.yml.,上下文 undo/redo 插件：为根 Agent 增加 undo/redo 工具，将会话上下文回滚/恢复到上一个已完成步骤。,dsh plugin --profile demo add dsh-undo,MIT,low,"Manipulates the append-only session log/context (shadowing/restoring events); no network, API keys, shell, or credentials.",memory_persona,"README.md (install section with npm/git/overlay options, dsh.bundle cordis.patch.yml, MIT license).",2026-08-14
lunw/shopline-ai-toolkit-dsh,verified_plugin,Native dsh bundle (cordis.patch.yml + lib/index.js) with documented dsh plugin install command,"SHOPLINE e-commerce MCP bridge + agent skills (docs search, Admin REST/GraphQL, OAuth, webhooks) for DeepSeek Harness",dsh plugin --profile web add shopline-ai-toolkit-dsh,MIT,medium,Local stdio MCP (no auth) + optional community MCP over network; SHOPLINE API keys may be needed for live calls,automation,"README.md (HEAD): install section, cordis.patch.yml + lib/index.js bundle, package.json dsh.bundle, dsh.profile.bundles mention",2026-08-14
lwmxiaobei/dsh-plugins,rejected,"Non-plugin infra: a curated DSH plugin directory/website (Cloudflare Worker), not a loadable plugin",,,MIT,low,N/A — not a loadable plugin,ecosystem,README.md (HEAD),2026-08-14
lzszq/dsh-scholar,verified_plugin,Documented dsh plugin install (path-based local plugin add into web profile),"AI research workbench: governed research flow, controlled Docker experiments, evidence ledger, TeX manuscript",pnpm dsh plugin --profile web add /absolute/path/to/dsh-scholar,MIT,high,"Runs Docker experiments, interactive terminal, and remote machine runner; local filesystem access",data_tools,README.md (HEAD) section 4 '将 Agent 插件接入 DSH' (dsh plugin --profile web add /absolute/path/to/dsh-scholar),2026-08-14
Mappedinfo/PlainDeck,rejected,"Unrelated standalone slide editor; README has no DSH/Cordis mention, dsh-plugin topic only",,,MIT,low,N/A — not a DSH plugin,uncategorized,README.md (HEAD),2026-08-14
MashedPotato817/dsh-git-plugin,verified_plugin,Documented dsh plugin install + cordis.patch.yml insert declaration,Git workflow plugin: slash commands (/status /diff /branch /commit /undo) plus read-only git tools,dsh plugin --profile <name> add dsh-git-plugin,MIT,medium,"Runs git via ctx.subprocess (argv, no shell) with byte/timeout caps; configurable preCommit argv commands",developer_tools,README.md (HEAD): install + cordis.patch.yml insert declaration,2026-08-14
Moeblack/deepseek-manners,verified_plugin,Documented dsh plugin install (github: source and link: workspace),Injects a thank-you/system-prompt suffix into each user message turn,dsh plugin --profile web add github:moeblack/deepseek-manners,Not found,low,"Prompt/suffix injection only; no network, shell, or file access",fun,"README.md (HEAD) install section; package.json has dsh field, no license field",2026-08-14
Moeblack/dsh-prompt-studio,verified_plugin,Documented dsh plugin install + dsh.bundle.patch bundle (cordis.patch.yml),Edit user and built-in system-prompt sections with live preview and full request assembly,dsh plugin --profile web add /path/to/dsh-prompt-studio,BSD-3-Clause,medium,"Mutates system/user prompt assembly and request preview; prompt-level control, no network or shell",data_tools,README.md (HEAD) '安装与启用'; package.json dsh.bundle.patch,2026-08-14
Mongfayi/dsh-local-filetree,verified_plugin,Native static bundle (cordis.patch.yml) with dsh plugin install + dsh.profile.bundles declaration,"File tree panel in DSH Web UI showing the current session workspace tree (lazy, read-only)",dsh plugin --profile web add <路径或包名>,MIT,low,Read-only local file metadata via localhost HTTP route (/filetree); no network or credentials,developer_tools,README.md (HEAD) 安装 + 结构; cordis.patch.yml; package.json dsh.bundle,2026-08-14
